| OP         |   LEVEL |   COUNT |      EXEC |  LOAD(MB) |  DRAM(MB) |
|------------|---------|---------|-----------|-----------|-----------|
| input      |       5 |       0 |         7 |       0.0 |       0.0 |
| output     |       1 |       0 |         8 |       0.0 |       0.0 |
| addcc      |       2 |       0 |      6712 |       0.0 |       0.0 |
| addcc      |       4 |       0 |        36 |       0.0 |       0.0 |
| addcp      |       2 |       0 |       448 |       0.0 |       0.0 |
| mulcp      |       2 |       0 |       448 |       0.0 |       0.0 |
| mulcp      |       3 |       0 |      4032 |       0.0 |       0.0 |
| mulcp      |       4 |       0 |        78 |       0.0 |       0.0 |
| mulcp      |       5 |       0 |        14 |       0.0 |       0.0 |
| rotate     |       2 |       0 |      3128 |       0.0 |       0.0 |
| rotate     |       4 |       0 |        78 |       0.0 |       0.0 |
| rotate     |       5 |       0 |        14 |       0.0 |       0.0 |
| rescale    |       1 |       0 |         8 |       0.0 |       0.0 |
| rescale    |       2 |       0 |      4032 |       0.0 |       0.0 |
| rescale    |       3 |       0 |        42 |       0.0 |       0.0 |
| rescale    |       4 |       0 |        14 |       0.0 |       0.0 |
| zero       |       1 |       0 |         7 |       0.0 |       0.0 |
