| OP         |   LEVEL |   COUNT |      EXEC |  LOAD(MB) |  DRAM(MB) |
|------------|---------|---------|-----------|-----------|-----------|
| input      |       5 |       0 |         2 |       0.0 |       0.0 |
| output     |       1 |       0 |         2 |       0.0 |       0.0 |
| addcc      |       2 |       0 |      8702 |       0.0 |       0.0 |
| addcc      |       4 |       0 |         6 |       0.0 |       0.0 |
| addcp      |       2 |       0 |       512 |       0.0 |       0.0 |
| mulcp      |       2 |       0 |       512 |       0.0 |       0.0 |
| mulcp      |       3 |       0 |      4608 |       0.0 |       0.0 |
| mulcp      |       4 |       0 |        18 |       0.0 |       0.0 |
| mulcp      |       5 |       0 |         4 |       0.0 |       0.0 |
| rotate     |       2 |       0 |      4606 |       0.0 |       0.0 |
| rotate     |       4 |       0 |        18 |       0.0 |       0.0 |
| rotate     |       5 |       0 |         4 |       0.0 |       0.0 |
| rescale    |       1 |       0 |         2 |       0.0 |       0.0 |
| rescale    |       2 |       0 |      4608 |       0.0 |       0.0 |
| rescale    |       3 |       0 |        12 |       0.0 |       0.0 |
| rescale    |       4 |       0 |         4 |       0.0 |       0.0 |
| zero       |       1 |       0 |         7 |       0.0 |       0.0 |
