| OP         |   LEVEL |   COUNT |      EXEC |  LOAD(MB) |  DRAM(MB) |
|------------|---------|---------|-----------|-----------|-----------|
| input      |       3 |       0 |         1 |       0.0 |       0.0 |
| output     |       1 |       0 |         1 |       0.0 |       0.0 |
| addcc      |       2 |       0 |        51 |       0.0 |       0.0 |
| addcc      |       3 |       0 |        27 |       0.0 |       0.0 |
| addcp      |       2 |       0 |         4 |       0.0 |       0.0 |
| mulcp      |       2 |       0 |         4 |       0.0 |       0.0 |
| mulcp      |       3 |       0 |        36 |       0.0 |       0.0 |
| rotate     |       2 |       0 |        19 |       0.0 |       0.0 |
| rotate     |       3 |       0 |        35 |       0.0 |       0.0 |
| rescale    |       1 |       0 |         1 |       0.0 |       0.0 |
| rescale    |       2 |       0 |        36 |       0.0 |       0.0 |
| zero       |       1 |       0 |         3 |       0.0 |       0.0 |
